FrameID	ID	Label	x	y	z	w	h
26	646	person	597	221	1	73	155	
26	647	person	-1.44561e+08	32565	1	193	0	
27	648	person	673	159	1	64	161	
27	649	person	708	-3	1	40	67	
27	650	person	673	159	1	64	161	
27	651	person	708	-3	1	40	67	
27	652	person	673	159	1	64	160	
27	653	person	708	-3	1	40	67	
27	654	person	671	160	1	67	159	
27	655	person	706	-2	1	41	66	
27	656	person	666	160	1	67	162	
27	657	person	705	-2	1	43	67	
27	658	person	659	161	1	72	171	
27	659	person	703	-1	1	41	67	
27	660	person	659	163	1	69	177	
27	661	person	700	-1	1	44	69	
27	662	person	656	166	1	72	174	
27	663	person	701	-1	1	43	70	
27	664	person	647	174	1	77	167	
27	665	person	697	-1	1	44	73	
27	666	person	643	180	1	78	162	
27	667	person	697	0	1	44	74	
27	668	person	643	180	1	75	167	
27	669	person	696	0	1	45	74	
27	670	person	639	182	1	77	168	
27	671	person	636	184	1	77	165	
27	672	person	634	185	1	75	167	
27	673	person	632	184	1	75	168	
27	674	person	629	187	1	74	166	
27	675	person	629	189	1	72	165	
27	676	person	626	193	1	72	173	
27	677	person	621	195	1	72	172	
27	678	person	620	196	1	69	174	
27	679	person	618	198	1	67	178	
27	680	person	614	205	1	68	181	
27	681	person	611	207	1	70	174	
27	682	person	608	209	1	72	174	
27	683	person	608	210	1	71	171	
27	684	person	599	220	1	73	154	
27	685	person	597	221	1	73	155	
27	686	person	596	218	1	71	162	
27	687	person	1.9057e+09	8.82759e+08	1	177	0	
28	688	person	673	159	1	64	161	
28	689	person	708	-3	1	40	67	
28	690	person	673	159	1	64	161	
28	691	person	708	-3	1	40	67	
28	692	person	673	159	1	64	160	
28	693	person	708	-3	1	40	67	
28	694	person	671	160	1	67	159	
28	695	person	706	-2	1	41	66	
28	696	person	666	160	1	67	162	
28	697	person	705	-2	1	43	67	
28	698	person	659	161	1	72	171	
28	699	person	703	-1	1	41	67	
28	700	person	659	163	1	69	177	
28	701	person	700	-1	1	44	69	
28	702	person	656	166	1	72	174	
28	703	person	701	-1	1	43	70	
28	704	person	647	174	1	77	167	
28	705	person	697	-1	1	44	73	
28	706	person	643	180	1	78	162	
28	707	person	697	0	1	44	74	
28	708	person	643	180	1	75	167	
28	709	person	696	0	1	45	74	
28	710	person	639	182	1	77	168	
28	711	person	636	184	1	77	165	
28	712	person	634	185	1	75	167	
28	713	person	632	184	1	75	168	
28	714	person	629	187	1	74	166	
28	715	person	629	189	1	72	165	
28	716	person	626	193	1	72	173	
28	717	person	621	195	1	72	172	
28	718	person	620	196	1	69	174	
28	719	person	618	198	1	67	178	
28	720	person	614	205	1	68	181	
28	721	person	611	207	1	70	174	
28	722	person	608	209	1	72	174	
28	723	person	608	210	1	71	171	
28	724	person	599	220	1	73	154	
28	725	person	597	221	1	73	155	
28	726	person	596	218	1	71	162	
28	727	person	594	217	1	69	168	
28	728	person	-1.44561e+08	32565	1	177	0	
29	729	person	673	159	1	64	161	
29	730	person	708	-3	1	40	67	
29	731	person	673	159	1	64	161	
29	732	person	708	-3	1	40	67	
29	733	person	673	159	1	64	160	
29	734	person	708	-3	1	40	67	
29	735	person	671	160	1	67	159	
29	736	person	706	-2	1	41	66	
29	737	person	666	160	1	67	162	
29	738	person	705	-2	1	43	67	
29	739	person	659	161	1	72	171	
29	740	person	703	-1	1	41	67	
29	741	person	659	163	1	69	177	
29	742	person	700	-1	1	44	69	
29	743	person	656	166	1	72	174	
29	744	person	701	-1	1	43	70	
29	745	person	647	174	1	77	167	
29	746	person	697	-1	1	44	73	
29	747	person	643	180	1	78	162	
29	748	person	697	0	1	44	74	
29	749	person	643	180	1	75	167	
29	750	person	696	0	1	45	74	
29	751	person	639	182	1	77	168	
29	752	person	636	184	1	77	165	
29	753	person	634	185	1	75	167	
29	754	person	632	184	1	75	168	
29	755	person	629	187	1	74	166	
29	756	person	629	189	1	72	165	
29	757	person	626	193	1	72	173	
29	758	person	621	195	1	72	172	
29	759	person	620	196	1	69	174	
29	760	person	618	198	1	67	178	
29	761	person	614	205	1	68	181	
29	762	person	611	207	1	70	174	
29	763	person	608	209	1	72	174	
29	764	person	608	210	1	71	171	
29	765	person	599	220	1	73	154	
29	766	person	597	221	1	73	155	
29	767	person	596	218	1	71	162	
29	768	person	594	217	1	69	168	
29	769	person	640	1	1	71	96	
29	770	person	590	209	1	73	196	
29	771	person	0	0	1	177	0	
30	772	person	673	159	1	64	161	
30	773	person	708	-3	1	40	67	
30	774	person	673	159	1	64	161	
30	775	person	708	-3	1	40	67	
30	776	person	673	159	1	64	160	
30	777	person	708	-3	1	40	67	
30	778	person	671	160	1	67	159	
30	779	person	706	-2	1	41	66	
30	780	person	666	160	1	67	162	
30	781	person	705	-2	1	43	67	
30	782	person	659	161	1	72	171	
30	783	person	703	-1	1	41	67	
30	784	person	659	163	1	69	177	
30	785	person	700	-1	1	44	69	
30	786	person	656	166	1	72	174	
30	787	person	701	-1	1	43	70	
30	788	person	647	174	1	77	167	
30	789	person	697	-1	1	44	73	
30	790	person	643	180	1	78	162	
30	791	person	697	0	1	44	74	
30	792	person	643	180	1	75	167	
30	793	person	696	0	1	45	74	
30	794	person	639	182	1	77	168	
30	795	person	636	184	1	77	165	
30	796	person	634	185	1	75	167	
